Zip,CD110,privatepartyexcellent,privatepartyfair,privatepartygood,privatepartyverygood,min-tradeinfair,tradeinfair,max-tradeinfair,min-tradeingood,tradeingood,max-tradeingood,min-tradeinverygood,tradeinverygood,max-tradeinverygood
46041,IN-02,17461,14961,16361,16911,12353,12703,13088,14022,14403,14783,14731,15103,15474
46105,IN-08,17461,14961,16361,16911,12353,12703,13088,14022,14403,14783,14731,15103,15474
46107,IN-07,17461,14961,16361,16911,12353,12703,13088,14022,14403,14783,14731,15103,15474
46151,IN-09,17461,14961,16361,16911,12353,12703,13088,14022,14403,14783,14731,15103,15474
46303,IN-01,17461,14961,16361,16911,12353,12703,13088,14022,14403,14783,14731,15103,15474
46502,IN-03,17461,14961,16361,16911,12353,12703,13088,14022,14403,14783,14731,15103,15474
50001,IA-04,17520,15020,16420,16970,12398,12748,13133,14067,14448,14828,14776,15148,15519
50002,IA-05,17520,15020,16420,16970,12398,12748,13133,14067,14448,14828,14776,15148,15519
50007,IA-03,17520,15020,16420,16970,12398,12748,13133,14067,14448,14828,14776,15148,15519
50008,IA-02,17520,15020,16420,16970,12398,12748,13133,14067,14448,14828,14776,15148,15519
50433,IA-01,17520,15020,16420,16970,12398,12748,13133,14067,14448,14828,14776,15148,15519
66002,KS-02,17520,15020,16420,16970,12398,12748,13133,14067,14448,14828,14776,15148,15519
66006,KS-03,17520,15020,16420,16970,12398,12748,13133,14067,14448,14828,14776,15148,15519
66401,KS-01,17520,15020,16420,16970,12398,12748,13133,14067,14448,14828,14776,15148,15519
66736,KS-04,17520,15020,16420,16970,12398,12748,13133,14067,14448,14828,14776,15148,15519
38079,KY-01,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
40003,KY-02,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
40003,KY-06,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
40006,KY-04,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
40023,KY-03,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
40313,KY-05,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
70001,LA-01,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
70001,LA-02,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
70030,LA-03,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
70403,LA-06,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
70501,LA-07,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
70532,LA-05,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
